,Survived,Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Sex_female,Embarked_C,Embarked_Q
46,0,25.0,1,0,15.5,0,0,0,0,1
47,1,21.5,0,0,7.75,0,0,1,0,1
48,0,25.0,2,0,21.6792,0,0,0,1,0
49,0,18.0,1,0,17.8,0,0,1,0,0
50,0,7.0,4,1,39.6875,0,0,0,0,0
51,0,21.0,0,0,7.8,0,0,0,0,0
52,1,49.0,1,0,76.7292,1,0,1,1,0
53,1,29.0,1,0,26.0,0,1,1,0,0
54,0,65.0,0,1,61.9792,1,0,0,1,0
55,1,42.0,0,0,35.5,1,0,0,0,0
56,1,21.0,0,0,10.5,0,1,1,0,0
57,0,28.5,0,0,7.2292,0,0,0,1,0
58,1,5.0,1,2,27.75,0,1,1,0,0
59,0,11.0,5,2,46.9,0,0,0,0,0
60,0,22.0,0,0,7.2292,0,0,0,1,0
61,1,38.0,0,0,80.0,1,0,1,1,0
62,0,45.0,1,0,83.475,1,0,0,0,0
63,0,4.0,3,2,27.9,0,0,0,0,0
64,0,42.0,0,0,27.7208,1,0,0,1,0
65,1,25.0,1,1,15.2458,0,0,0,1,0
66,1,29.0,0,0,10.5,0,1,1,0,0
67,0,19.0,0,0,8.1583,0,0,0,0,0
68,1,17.0,4,2,7.925,0,0,1,0,0
69,0,26.0,2,0,8.6625,0,0,0,0,0
70,0,32.0,0,0,10.5,0,1,0,0,0
71,0,16.0,5,2,46.9,0,0,1,0,0
72,0,21.0,0,0,73.5,0,1,0,0,0
73,0,26.0,1,0,14.4542,0,0,0,1,0
74,1,32.0,0,0,56.4958,0,0,0,0,0
75,0,25.0,0,0,7.65,0,0,0,0,0
76,0,25.0,0,0,7.8958,0,0,0,0,0
77,0,25.0,0,0,8.05,0,0,0,0,0
78,1,0.83,0,2,29.0,0,1,0,0,0
79,1,30.0,0,0,12.475,0,0,1,0,0
80,0,22.0,0,0,9.0,0,0,0,0,0
81,1,29.0,0,0,9.5,0,0,0,0,0
82,1,21.5,0,0,7.7875,0,0,1,0,1
83,0,28.0,0,0,47.1,1,0,0,0,0
84,1,17.0,0,0,10.5,0,1,1,0,0
85,1,33.0,3,0,15.85,0,0,1,0,0
86,0,16.0,1,3,34.375,0,0,0,0,0
87,0,25.0,0,0,8.05,0,0,0,0,0
88,1,23.0,3,2,263.0,1,0,1,0,0
89,0,24.0,0,0,8.05,0,0,0,0,0
90,0,29.0,0,0,8.05,0,0,0,0,0
91,0,20.0,0,0,7.8542,0,0,0,0,0
92,0,46.0,1,0,61.175,1,0,0,0,0
93,0,26.0,1,2,20.575,0,0,0,0,0
94,0,59.0,0,0,7.25,0,0,0,0,0
95,0,25.0,0,0,8.05,0,0,0,0,0
96,0,71.0,0,0,34.6542,1,0,0,1,0
97,1,23.0,0,1,63.3583,1,0,0,1,0
98,1,34.0,0,1,23.0,0,1,1,0,0
99,0,34.0,1,0,26.0,0,1,0,0,0
100,0,28.0,0,0,7.8958,0,0,1,0,0
101,0,25.0,0,0,7.8958,0,0,0,0,0
102,0,21.0,0,1,77.2875,1,0,0,0,0
103,0,33.0,0,0,8.6542,0,0,0,0,0
104,0,37.0,2,0,7.925,0,0,0,0,0
105,0,28.0,0,0,7.8958,0,0,0,0,0
106,1,21.0,0,0,7.65,0,0,1,0,0
107,1,25.0,0,0,7.775,0,0,0,0,0
108,0,38.0,0,0,7.8958,0,0,0,0,0
109,1,21.5,1,0,24.15,0,0,1,0,1
110,0,47.0,0,0,52.0,1,0,0,0,0
111,0,14.5,1,0,14.4542,0,0,1,1,0
112,0,22.0,0,0,8.05,0,0,0,0,0
113,0,20.0,1,0,9.825,0,0,1,0,0
114,0,17.0,0,0,14.4583,0,0,1,1,0
115,0,21.0,0,0,7.925,0,0,0,0,0
116,0,70.5,0,0,7.75,0,0,0,0,1
117,0,29.0,1,0,21.0,0,1,0,0,0
118,0,24.0,0,1,247.5208,1,0,0,1,0
119,0,2.0,4,2,31.275,0,0,1,0,0
120,0,21.0,2,0,73.5,0,1,0,0,0
121,0,25.0,0,0,8.05,0,0,0,0,0
122,0,32.5,1,0,30.0708,0,1,0,1,0
123,1,32.5,0,0,13.0,0,1,1,0,0
124,0,54.0,0,1,77.2875,1,0,0,0,0
125,1,12.0,1,0,11.2417,0,0,0,1,0
126,0,25.0,0,0,7.75,0,0,0,0,1
127,1,24.0,0,0,7.1417,0,0,0,0,0
128,1,21.5,1,1,22.3583,0,0,1,1,0
129,0,45.0,0,0,6.975,0,0,0,0,0
130,0,33.0,0,0,7.8958,0,0,0,1,0
131,0,20.0,0,0,7.05,0,0,0,0,0
132,0,47.0,1,0,14.5,0,0,1,0,0
133,1,29.0,1,0,26.0,0,1,1,0,0
134,0,25.0,0,0,13.0,0,1,0,0,0
135,0,23.0,0,0,15.0458,0,1,0,1,0
136,1,19.0,0,2,26.2833,1,0,1,0,0
137,0,37.0,1,0,53.1,1,0,0,0,0
138,0,16.0,0,0,9.2167,0,0,0,0,0
139,0,24.0,0,0,79.2,1,0,0,1,0
140,0,21.5,0,2,15.2458,0,0,1,1,0
141,1,22.0,0,0,7.75,0,0,1,0,0
142,1,24.0,1,0,15.85,0,0,1,0,0
143,0,19.0,0,0,6.75,0,0,0,0,1
144,0,18.0,0,0,11.5,0,1,0,0,0
145,0,19.0,1,1,36.75,0,1,0,0,0
146,1,27.0,0,0,7.7958,0,0,0,0,0
147,0,9.0,2,2,34.375,0,0,1,0,0
148,0,36.5,0,2,26.0,0,1,0,0,0
149,0,42.0,0,0,13.0,0,1,0,0,0
150,0,51.0,0,0,12.525,0,1,0,0,0
151,1,22.0,1,0,66.6,1,0,1,0,0
152,0,55.5,0,0,8.05,0,0,0,0,0
153,0,40.5,0,2,14.5,0,0,0,0,0
154,0,25.0,0,0,7.3125,0,0,0,0,0
155,0,51.0,0,1,61.3792,1,0,0,1,0
156,1,16.0,0,0,7.7333,0,0,1,0,1
157,0,30.0,0,0,8.05,0,0,0,0,0
158,0,25.0,0,0,8.6625,0,0,0,0,0
159,0,25.0,8,2,69.55,0,0,0,0,0
160,0,44.0,0,1,16.1,0,0,0,0,0
161,1,40.0,0,0,15.75,0,1,1,0,0
162,0,26.0,0,0,7.775,0,0,0,0,0
163,0,17.0,0,0,8.6625,0,0,0,0,0
164,0,1.0,4,1,39.6875,0,0,0,0,0
165,1,9.0,0,2,20.525,0,0,0,0,0
166,1,35.0,0,1,55.0,1,0,1,0,0
167,0,45.0,1,4,27.9,0,0,1,0,0
168,0,42.0,0,0,25.925,1,0,0,0,0
169,0,28.0,0,0,56.4958,0,0,0,0,0
170,0,61.0,0,0,33.5,1,0,0,0,0
171,0,4.0,4,1,29.125,0,0,0,0,1
172,1,1.0,1,1,11.1333,0,0,1,0,0
173,0,21.0,0,0,7.925,0,0,0,0,0
174,0,56.0,0,0,30.6958,1,0,0,1,0
175,0,18.0,1,1,7.8542,0,0,0,0,0
176,0,25.0,3,1,25.4667,0,0,0,0,0
177,0,50.0,0,0,28.7125,1,0,1,1,0
178,0,30.0,0,0,13.0,0,1,0,0,0
179,0,21.5,8,2,69.55,0,0,1,0,0
180,0,30.0,0,0,15.05,0,1,0,1,0
181,0,9.0,4,2,31.3875,0,0,0,0,0
182,1,1.0,2,1,39.0,0,1,0,0,0
183,1,4.0,0,2,22.025,0,0,1,0,0
184,0,42.0,0,0,50.0,1,0,0,0,0
185,1,21.5,1,0,15.5,0,0,1,0,1
186,1,45.0,0,0,26.55,1,0,0,0,0
187,0,40.0,1,1,15.5,0,0,0,0,1
188,0,36.0,0,0,7.8958,0,0,0,0,0
189,1,32.0,0,0,13.0,0,1,1,0,0
190,0,19.0,0,0,13.0,0,1,0,0,0
191,1,19.0,1,0,7.8542,0,0,1,0,0
192,1,3.0,1,1,26.0,0,1,0,0,0
193,1,44.0,0,0,27.7208,1,0,1,1,0
194,1,58.0,0,0,146.5208,1,0,1,1,0
195,0,25.0,0,0,7.75,0,0,0,0,1
196,0,42.0,0,1,8.4042,0,0,0,0,0
197,1,21.5,0,0,7.75,0,0,1,0,1
198,0,24.0,0,0,13.0,0,1,1,0,0
199,0,28.0,0,0,9.5,0,0,0,0,0
200,0,25.0,8,2,69.55,0,0,0,0,0
201,0,34.0,0,0,6.4958,0,0,0,0,0
202,0,45.5,0,0,7.225,0,0,0,1,0
203,1,18.0,0,0,8.05,0,0,0,0,0
204,0,2.0,0,1,10.4625,0,0,1,0,0
205,0,32.0,1,0,15.85,0,0,0,0,0
206,1,26.0,0,0,18.7875,0,0,0,1,0
207,1,16.0,0,0,7.75,0,0,1,0,1
208,1,40.0,0,0,31.0,1,0,0,1,0
209,0,24.0,0,0,7.05,0,0,0,0,0
210,1,35.0,0,0,21.0,0,1,1,0,0
211,0,22.0,0,0,7.25,0,0,0,0,0
212,0,30.0,0,0,13.0,0,1,0,0,0
213,0,25.0,1,0,7.75,0,0,0,0,1
214,1,31.0,1,0,113.275,1,0,1,1,0
215,1,27.0,0,0,7.925,0,0,1,0,0
216,0,42.0,1,0,27.0,0,1,0,0,0
217,1,32.0,0,0,76.2917,1,0,1,1,0
218,0,30.0,0,0,10.5,0,1,0,0,0
219,1,16.0,0,0,8.05,0,0,0,0,0
220,0,27.0,0,0,13.0,0,1,0,0,0
221,0,51.0,0,0,8.05,0,0,0,0,0
222,0,25.0,0,0,7.8958,0,0,0,0,0
223,1,38.0,1,0,90.0,1,0,0,0,0
224,0,22.0,0,0,9.35,0,0,0,0,0
225,1,19.0,0,0,10.5,0,1,0,0,0
226,0,20.5,0,0,7.25,0,0,0,0,0
227,0,18.0,0,0,13.0,0,1,0,0,0
228,0,21.5,3,1,25.4667,0,0,1,0,0
229,1,35.0,1,0,83.475,1,0,1,0,0
230,0,29.0,0,0,7.775,0,0,0,0,0
231,0,59.0,0,0,13.5,0,1,0,0,0
232,1,5.0,4,2,31.3875,0,0,1,0,0
233,0,24.0,0,0,10.5,0,1,0,0,0
234,0,21.5,0,0,7.55,0,0,1,0,0
235,0,44.0,1,0,26.0,0,1,0,0,0
236,1,8.0,0,2,26.25,0,1,1,0,0
237,0,19.0,0,0,10.5,0,1,0,0,0
238,0,33.0,0,0,12.275,0,1,0,0,0
239,0,21.5,1,0,14.4542,0,0,1,1,0
240,1,21.5,1,0,15.5,0,0,1,0,1
241,0,29.0,0,0,10.5,0,1,0,0,0
242,0,22.0,0,0,7.125,0,0,0,0,0
243,0,30.0,0,0,7.225,0,0,0,1,0
244,0,44.0,2,0,90.0,1,0,0,0,1
245,0,25.0,0,0,7.775,0,0,1,0,0
246,1,24.0,0,2,14.5,0,1,1,0,0
247,1,37.0,1,1,52.5542,1,0,0,0,0
248,0,54.0,1,0,26.0,0,1,0,0,0
249,0,25.0,0,0,7.25,0,0,0,0,0
250,0,29.0,1,1,10.4625,0,0,1,0,0
251,0,62.0,0,0,26.55,1,0,0,0,0
252,0,30.0,1,0,16.1,0,0,0,0,0
253,0,41.0,0,2,20.2125,0,0,1,0,0
254,1,29.0,0,2,15.2458,0,0,1,1,0
255,1,35.0,0,0,79.2,1,0,1,1,0
256,1,30.0,0,0,86.5,1,0,1,0,0
257,1,50.0,0,1,26.0,0,1,1,0,0
258,0,25.0,0,0,7.75,0,0,0,0,1
259,1,3.0,4,2,31.3875,0,0,0,0,0
260,0,52.0,1,1,79.65,1,0,0,0,0
261,0,21.5,0,0,7.75,0,0,1,0,1
262,0,36.0,0,0,10.5,0,1,0,0,0
263,0,16.0,4,1,39.6875,0,0,0,0,0
264,1,25.0,1,0,7.775,0,0,0,0,0
265,1,58.0,0,1,153.4625,1,0,1,0,0
266,1,35.0,0,0,135.6333,1,0,1,0,0
267,0,42.0,0,0,31.0,1,0,0,0,0
268,1,41.0,0,1,19.5,0,1,1,0,0
269,0,37.0,0,1,29.7,1,0,0,1,0
270,1,21.5,0,0,7.75,0,0,1,0,1
271,1,63.0,1,0,77.9583,1,0,1,0,0
272,0,45.0,0,0,7.75,0,0,1,0,0
273,0,7.0,4,1,29.125,0,0,0,0,1
274,1,35.0,1,1,20.25,0,0,1,0,0
275,0,65.0,0,0,7.75,0,0,0,0,1
276,0,28.0,0,0,7.8542,0,0,0,0,0
277,0,16.0,0,0,9.5,0,0,0,0,0
278,1,19.0,0,0,8.05,0,0,0,0,0
279,0,42.0,0,0,26.0,1,0,0,0,0
280,0,33.0,0,0,8.6625,0,0,0,1,0
281,1,30.0,0,0,9.5,0,0,0,0,0
282,0,22.0,0,0,7.8958,0,0,0,0,0
283,1,42.0,0,0,13.0,0,1,0,0,0
284,1,22.0,0,0,7.75,0,0,1,0,1
285,1,26.0,0,0,78.85,1,0,1,0,0
286,1,19.0,1,0,91.0792,1,0,1,1,0
287,0,36.0,0,0,12.875,0,1,0,1,0
288,0,24.0,0,0,8.85,0,0,1,0,0
289,0,24.0,0,0,7.8958,0,0,0,0,0
290,0,42.0,0,0,27.7208,1,0,0,1,0
291,0,23.5,0,0,7.2292,0,0,0,1,0
292,0,2.0,1,2,151.55,1,0,1,0,0
293,1,42.0,0,0,30.5,1,0,0,0,0
294,1,50.0,0,1,247.5208,1,0,1,1,0
295,1,21.5,0,0,7.75,0,0,1,0,1
296,1,25.0,2,0,23.25,0,0,0,0,1
297,1,28.0,0,0,12.35,0,1,1,0,1
298,0,25.0,0,0,8.05,0,0,0,0,0
299,1,0.92,1,2,151.55,1,0,0,0,0
300,1,35.0,0,0,110.8833,1,0,1,1,0
301,1,17.0,1,0,108.9,1,0,1,1,0
302,0,30.0,1,0,24.0,0,1,0,1,0
303,1,30.0,0,0,56.9292,1,0,1,1,0
304,1,24.0,0,0,83.1583,1,0,1,1,0
305,1,18.0,2,2,262.375,1,0,1,1,0
306,0,26.0,1,1,26.0,0,1,1,0,0
307,0,28.0,0,0,7.8958,0,0,0,0,0
308,0,43.0,1,1,26.25,0,1,0,0,0
309,1,26.0,0,0,7.8542,0,0,1,0,0
310,1,24.0,1,0,26.0,0,1,1,0,0
311,0,54.0,0,0,14.0,0,1,0,0,0
312,1,31.0,0,2,164.8667,1,0,1,0,0
313,1,40.0,1,1,134.5,1,0,1,1,0
314,0,22.0,0,0,7.25,0,0,0,0,0
315,0,27.0,0,0,7.8958,0,0,0,0,0
316,1,30.0,0,0,12.35,0,1,1,0,1
317,1,22.0,1,1,29.0,0,1,1,0,0
318,0,25.0,8,2,69.55,0,0,0,0,0
319,1,36.0,0,0,135.6333,1,0,1,1,0
320,0,61.0,0,0,6.2375,0,0,0,0,0
321,1,36.0,0,0,13.0,0,1,1,0,0
322,1,31.0,1,1,20.525,0,0,1,0,0
323,1,16.0,0,1,57.9792,1,0,1,1,0
324,1,21.5,2,0,23.25,0,0,1,0,1
325,0,45.5,0,0,28.5,1,0,0,0,0
326,0,38.0,0,1,153.4625,1,0,0,0,0
327,0,16.0,2,0,18.0,0,0,0,0,0
328,1,35.0,1,0,133.65,1,0,1,0,0
329,0,25.0,0,0,7.8958,0,0,0,0,0
330,0,29.0,1,0,66.6,1,0,0,0,0
331,1,41.0,0,0,134.5,1,0,1,1,0
332,1,45.0,0,0,8.05,0,0,0,0,0
333,0,45.0,0,0,35.5,1,0,0,0,0
334,1,2.0,1,1,26.0,0,1,0,0,0
335,1,24.0,3,2,263.0,1,0,1,0,0
336,0,28.0,0,0,13.0,0,1,0,0,0
337,0,25.0,0,0,13.0,0,1,0,0,0
338,0,36.0,0,0,13.0,0,1,0,0,0
339,1,24.0,0,0,13.0,0,1,1,0,0
340,1,40.0,0,0,13.0,0,1,1,0,0
341,1,21.5,1,0,16.1,0,0,1,0,0
342,1,3.0,1,1,15.9,0,0,0,0,0
343,0,42.0,0,0,8.6625,0,0,0,0,0
344,0,23.0,0,0,9.225,0,0,0,0,0
345,0,42.0,0,0,35.0,1,0,0,0,0
346,0,15.0,1,1,7.2292,0,0,0,1,0
347,0,25.0,1,0,17.8,0,0,0,0,0
348,0,25.0,0,0,7.225,0,0,0,1,0
349,0,28.0,0,0,9.5,0,0,0,0,0
350,1,22.0,0,1,55.0,1,0,1,0,0
351,0,38.0,0,0,13.0,0,1,1,0,0
352,1,21.5,0,0,7.8792,0,0,1,0,1
353,1,21.5,0,0,7.8792,0,0,1,0,1
354,0,40.0,1,4,27.9,0,0,0,0,0
355,0,29.0,1,0,27.7208,0,1,0,1,0
356,0,45.0,0,1,14.4542,0,0,1,1,0
357,0,35.0,0,0,7.05,0,0,0,0,0
358,0,25.0,1,0,15.5,0,0,0,0,1
359,0,30.0,0,0,7.25,0,0,0,0,0
360,1,60.0,1,0,75.25,1,0,1,1,0
361,1,21.5,0,0,7.2292,0,0,1,1,0
362,1,21.5,0,0,7.75,0,0,1,0,1
363,1,24.0,0,0,69.3,1,0,1,1,0
364,1,25.0,1,0,55.4417,1,0,0,1,0
365,0,18.0,1,0,6.4958,0,0,0,0,0
366,0,19.0,0,0,8.05,0,0,0,0,0
367,0,22.0,0,0,135.6333,1,0,0,1,0
368,0,3.0,3,1,21.075,0,0,1,0,0
369,1,35.0,1,0,82.1708,1,0,1,1,0
370,1,22.0,0,0,7.25,0,0,1,0,0
371,0,27.0,0,2,211.5,1,0,0,1,0
372,0,19.0,0,0,7.775,0,0,0,0,0
373,1,42.0,0,0,227.525,1,0,1,1,0
374,1,1.0,0,2,15.7417,0,0,1,1,0
375,0,32.0,0,0,7.925,0,0,0,0,0
376,1,35.0,1,0,52.0,1,0,1,0,0
377,0,25.0,0,0,7.8958,0,0,0,0,0
378,0,18.0,0,0,73.5,0,1,0,0,0
379,0,1.0,5,2,46.9,0,0,0,0,0
380,1,36.0,0,0,13.0,0,1,1,0,0
381,0,25.0,0,0,7.7292,0,0,0,0,1
382,1,17.0,0,0,12.0,0,1,1,1,0
383,1,36.0,1,2,120.0,1,0,0,0,0
384,1,21.0,0,0,7.7958,0,0,0,0,0
385,0,28.0,2,0,7.925,0,0,0,0,0
386,1,23.0,1,0,113.275,1,0,1,1,0
387,1,24.0,0,2,16.7,0,0,1,0,0
388,0,22.0,0,0,7.7958,0,0,0,0,0
389,0,31.0,0,0,7.8542,0,0,1,0,0
390,0,46.0,0,0,26.0,0,1,0,0,0
391,0,23.0,0,0,10.5,0,1,0,0,0
392,1,28.0,0,0,12.65,0,1,1,0,0
393,1,39.0,0,0,7.925,0,0,0,0,0
394,0,26.0,0,0,8.05,0,0,0,0,0
395,0,21.0,1,0,9.825,0,0,1,0,0
396,0,28.0,1,0,15.85,0,0,0,0,0
397,0,20.0,0,0,8.6625,0,0,1,0,0
398,0,34.0,1,0,21.0,0,1,0,0,0
399,0,51.0,0,0,7.75,0,0,0,0,0
400,1,3.0,1,1,18.75,0,1,0,0,0
401,0,21.0,0,0,7.775,0,0,0,0,0
402,0,21.5,3,1,25.4667,0,0,1,0,0
403,0,25.0,0,0,7.8958,0,0,0,0,0
404,0,25.0,0,0,6.8583,0,0,0,0,1
405,1,33.0,1,0,90.0,1,0,1,0,1
406,1,44.0,0,0,7.925,0,0,0,0,0
407,0,21.5,0,0,8.05,0,0,1,0,0
408,1,34.0,1,1,32.5,0,1,1,0,0
409,1,18.0,0,2,13.0,0,1,1,0,0
410,0,30.0,0,0,13.0,0,1,0,0,0
411,0,10.0,0,2,24.15,0,0,1,0,0
412,0,25.0,0,0,7.8958,0,0,0,1,0
413,0,21.0,0,0,7.7333,0,0,0,0,1
414,0,29.0,0,0,7.875,0,0,0,0,0
415,0,28.0,1,1,14.4,0,0,1,0,0
416,0,18.0,1,1,20.2125,0,0,0,0,0
417,0,25.0,0,0,7.25,0,0,0,0,0
418,1,28.0,1,0,26.0,0,1,1,0,0
419,1,19.0,0,0,26.0,0,1,1,0,0
420,0,25.0,0,0,7.75,0,0,0,0,1
421,1,32.0,0,0,8.05,0,0,0,0,0
422,1,28.0,0,0,26.55,1,0,0,0,0
423,1,21.5,1,0,16.1,0,0,1,0,0
424,1,42.0,1,0,26.0,0,1,1,0,0
425,0,17.0,0,0,7.125,0,0,0,0,0
426,0,50.0,1,0,55.9,1,0,0,0,0
427,1,14.0,1,2,120.0,1,0,1,0,0
428,0,21.0,2,2,34.375,0,0,1,0,0
429,1,24.0,2,3,18.75,0,1,1,0,0
430,0,64.0,1,4,263.0,1,0,0,0,0
431,0,31.0,0,0,10.5,0,1,0,0,0
432,1,45.0,1,1,26.25,0,1,1,0,0
433,0,20.0,0,0,9.5,0,0,0,0,0
434,0,25.0,1,0,7.775,0,0,0,0,0
435,1,28.0,0,0,13.0,0,1,1,0,0
436,1,25.0,0,0,8.1125,0,0,0,0,0
437,1,4.0,0,2,81.8583,1,0,0,0,0
438,1,13.0,0,1,19.5,0,1,1,0,0
439,1,34.0,0,0,26.55,1,0,0,0,0
440,1,5.0,2,1,19.2583,0,0,1,1,0
441,1,52.0,0,0,30.5,1,0,0,0,0
442,0,36.0,1,2,27.75,0,1,0,0,0
443,0,25.0,1,0,19.9667,0,0,0,0,0
444,0,30.0,0,0,27.75,1,0,0,1,0
445,1,49.0,1,0,89.1042,1,0,0,1,0
446,0,25.0,0,0,8.05,0,0,0,0,0
447,1,29.0,0,0,7.8958,0,0,0,1,0
448,0,65.0,0,0,26.55,1,0,0,0,0
449,1,35.0,1,0,51.8625,1,0,1,0,0
450,1,50.0,0,0,10.5,0,1,1,0,0
451,0,25.0,0,0,7.75,0,0,0,0,1
452,1,48.0,0,0,26.55,1,0,0,0,0
453,0,34.0,0,0,8.05,0,0,0,0,0
454,0,47.0,0,0,38.5,1,0,0,0,0
455,0,48.0,0,0,13.0,0,1,0,0,0
456,0,25.0,0,0,8.05,0,0,0,0,0
457,0,38.0,0,0,7.05,0,0,0,0,0
458,0,56.0,0,0,26.55,1,0,0,0,0
459,0,25.0,0,0,7.725,0,0,0,0,1
460,1,0.75,2,1,19.2583,0,0,1,1,0
461,0,25.0,0,0,7.25,0,0,0,0,0
462,0,38.0,0,0,8.6625,0,0,0,0,0
463,1,33.0,1,2,27.75,0,1,1,0,0
464,1,23.0,0,0,13.7917,0,1,1,1,0
465,0,22.0,0,0,9.8375,0,0,1,0,0
466,0,42.0,0,0,52.0,1,0,0,0,0
467,0,34.0,1,0,21.0,0,1,0,0,0
468,0,29.0,1,0,7.0458,0,0,0,0,0
469,0,22.0,0,0,7.5208,0,0,0,0,0
470,1,2.0,0,1,12.2875,0,0,1,0,0
471,0,9.0,5,2,46.9,0,0,0,0,0
472,0,50.0,0,0,8.05,0,0,0,0,0
473,1,63.0,0,0,9.5875,0,0,1,0,0
474,1,25.0,1,0,91.0792,1,0,0,1,0
475,0,21.5,3,1,25.4667,0,0,1,0,0
476,1,35.0,1,0,90.0,1,0,1,0,0
477,0,58.0,0,0,29.7,1,0,0,1,0
478,0,30.0,0,0,8.05,0,0,0,0,0
479,1,9.0,1,1,15.9,0,0,0,0,0
480,0,25.0,1,0,19.9667,0,0,0,0,0
481,0,21.0,0,0,7.25,0,0,0,0,0
482,0,55.0,0,0,30.5,1,0,0,0,0
483,0,71.0,0,0,49.5042,1,0,0,1,0
484,0,21.0,0,0,8.05,0,0,0,0,0
485,0,25.0,0,0,14.4583,0,0,0,1,0
486,1,54.0,1,0,78.2667,1,0,1,1,0
487,0,25.0,0,0,15.1,0,0,0,0,0
488,0,25.0,1,2,151.55,1,0,1,0,0
489,0,24.0,0,0,7.7958,0,0,0,0,0
490,0,17.0,0,0,8.6625,0,0,0,0,0
491,0,21.0,0,0,7.75,0,0,1,0,1
492,0,21.5,0,0,7.6292,0,0,1,0,1
493,0,37.0,0,0,9.5875,0,0,1,0,0
494,1,16.0,0,0,86.5,1,0,1,0,0
495,0,18.0,1,0,108.9,1,0,0,1,0
496,1,33.0,0,2,26.0,0,1,1,0,0
497,1,42.0,0,0,26.55,1,0,0,0,0
498,0,28.0,0,0,22.525,0,0,0,0,0
499,1,26.0,0,0,56.4958,0,0,0,0,0
500,1,29.0,0,0,7.75,0,0,0,0,1
501,0,25.0,0,0,8.05,0,0,0,0,0
502,1,36.0,0,0,26.2875,1,0,0,0,0
503,1,54.0,1,0,59.4,1,0,1,1,0
504,0,24.0,0,0,7.4958,0,0,0,0,0
505,0,47.0,0,0,34.0208,1,0,0,0,0
506,1,34.0,0,0,10.5,0,1,1,0,0
507,0,25.0,0,0,24.15,0,0,0,0,1
508,1,36.0,1,0,26.0,0,1,1,0,0
509,0,32.0,0,0,7.8958,0,0,0,0,0
510,1,30.0,0,0,93.5,1,0,1,0,0
511,0,22.0,0,0,7.8958,0,0,0,0,0
512,0,25.0,0,0,7.225,0,0,0,1,0
513,1,44.0,0,1,57.9792,1,0,1,1,0
514,0,25.0,0,0,7.2292,0,0,0,1,0
515,0,40.5,0,0,7.75,0,0,0,0,1
516,1,50.0,0,0,10.5,0,1,1,0,0
517,0,42.0,0,0,221.7792,1,0,0,0,0
518,0,39.0,0,0,7.925,0,0,0,0,0
519,0,23.0,2,1,11.5,0,1,0,0,0
520,1,2.0,1,1,26.0,0,1,1,0,0
521,0,25.0,0,0,7.2292,0,0,0,1,0
522,0,17.0,1,1,7.2292,0,0,0,1,0
523,1,21.5,0,2,22.3583,0,0,1,1,0
524,0,30.0,0,0,8.6625,0,0,1,0,0
525,1,7.0,0,2,26.25,0,1,1,0,0
526,0,45.0,0,0,26.55,1,0,0,0,0
